66.227.136.12 	6515 	anonymous 	18.01.12 20:07 	5/5 	55,91 KB/s 	United States 	check
67.149.148.250 	36081 	anonymous 	18.01.12 18:43 	4/5 	62,09 KB/s 	United States 	check
67.168.248.163 	6515 	anonymous 	18.01.12 20:09 	5/5 	45,50 KB/s 	United States 	check
67.171.219.164 	6515 	anonymous 	18.01.12 20:09 	4/5 	39,61 KB/s 	United States 	check
68.103.142.94 	6515 	anonymous 	18.01.12 20:13 	2/5 	55,43 KB/s 	United States 	check
68.234.110.135 	36081 	anonymous 	18.01.12 19:04 	1/5 	21,32 KB/s 	United States 	check
69.138.40.86 	36081 	anonymous 	18.01.12 19:05 	5/5 	68,64 KB/s 	United States 	check
69.181.173.7 	6515 	anonymous 	18.01.12 20:20 	3/5 	27,45 KB/s 	Unknown 	check
69.181.77.73 	6515 	anonymous 	18.01.12 20:20 	3/5 	48,37 KB/s 	Unknown 	check
69.246.180.58 	36081 	anonymous 	18.01.12 18:44 	5/5 	51,47 KB/s 	United States 	check
70.180.160.143 	6515 	anonymous 	18.01.12 20:22 	1/5 	35,06 KB/s 	United States 	check
70.187.8.169 	6515 	anonymous 	18.01.12 20:22 	4/5 	54,88 KB/s 	United States 	check
70.88.216.114 	6515 	anonymous 	18.01.12 20:23 	3/5 	72,47 KB/s 	United States 	check
70.88.216.115 	6515 	anonymous 	18.01.12 20:23 	5/5 	65,03 KB/s 	United States 	check
71.56.21.251 	36081 	anonymous 	18.01.12 19:05 	1/5 	67,89 KB/s 	Unknown 	check
71.62.145.76 	6515 	anonymous 	18.01.12 20:28 	4/5 	75,26 KB/s 	Unknown 	check
71.62.2.167 	6515 	anonymous 	18.01.12 20:28 	5/5 	62,97 KB/s 	Unknown 	check
71.82.58.197 	6515 	anonymous 	18.01.12 20:30 	4/5 	60,67 KB/s 	United States 	check
72.241.213.227 	6515 	anonymous 	18.01.12 20:32 	1/5 	70,12 KB/s 	United States 	check
74.90.44.168 	6515 	anonymous 	18.01.12 20:34 	5/5 	52,43 KB/s 	Unknown 	check
75.138.6.78 	6515 	anonymous 	18.01.12 20:35 	5/5 	60,37 KB/s 	United States 	check
75.191.140.245 	36081 	anonymous 	18.01.12 18:45 	2/5 	34,35 KB/s 	United States 	check
75.64.180.164 	6515 	anonymous 	18.01.12 20:37 	5/5 	63,71 KB/s 	United States 	check
75.67.90.166 	6515 	anonymous 	18.01.12 20:38 	5/5 	75,60 KB/s 	United States 	check
